date,Luxe,Prestige,Masstige,Mass
2021-12-31,2.8751369112814897,14.390243902439025,7.191533109144176,44.89655172413792
2022-01-31,2.8751369112814897,15.6982333926812,7.248775653984171,42.86896551724138
2022-02-28,3.0019811867792026,13.963414634146343,8.160518970331148,43.225735599599204
2022-03-31,2.4946040847883513,15.609756097560975,8.810101817295632,45.05609557907084
2022-04-30,2.0295084079634043,13.797028141259442,8.390696316495957,42.465095676824944
2022-05-31,2.9427871915469366,14.78048780487805,8.247072694295479,46.53887191769104
2022-06-30,2.3677598092906385,13.78048780487805,7.843702256611131,42.91017620176446
2022-07-31,2.164808968494298,12.341463414634147,9.194679604180415,43.45628192282314
2022-08-31,2.3677598092906385,11.563148216971186,9.754087906477105,40.10664361299152
2022-09-30,2.8751369112814897,12.256097560975611,9.209248530585139,42.37207654145996
2022-10-31,3.7884156948650216,13.476646903251458,9.333647885476443,46.940150052542826
2022-11-30,5.707992397397075,18.6972945584346,11.176101174995889,47.94263972726606
2022-12-31,6.299932349719734,18.159377106705158,10.979114118853605,52.46349800826022
2023-01-31,3.044262611945107,15.68954296382085,10.956096384237124,47.66028495320022
2023-02-28,3.5516397139359577,15.809223263210663,15.868873766349711,51.24776998460373
2023-03-31,3.086544037111011,15.426829268292684,13.078727923354448,49.16837532686526
2023-04-30,2.8413117711487663,15.055396622357438,15.43653676303768,49.00494391358537
2023-05-31,3.2979511629405325,16.25259286788474,15.004631376235256,52.74255541435519
2023-06-30,2.9596997616132983,13.75259286788474,13.815381754383752,48.935827488452794
2023-07-31,2.570710650086979,12.0,14.706521669723918,46.13759378283926
2023-08-31,2.5368855099542555,11.74607504623948,15.587833643154688,43.64432170874166
2023-09-30,3.551639713935958,12.804878048780488,12.661908723057245,48.75979679366553
2023-10-31,3.6192899942014045,13.95121951219512,13.476840116442968,49.398215987682974
2023-11-30,6.088525223890214,20.742570353148608,14.866697615140216,52.14793861042547
2023-12-31,5.987049803492043,18.69161725812864,14.800661648591818,53.705835919743876
2024-01-31,3.044262611945107,14.439864911583207,14.390825119795771,50.06854395268701
2024-02-29,2.917418336447394,14.683767350607596,15.119720049317657,94.69604584667269
2024-03-31,2.638360930352426,15.27244127154241,13.707879336204922,73.47680295217381
2024-04-30,2.7060112106178726,15.021726072150873,14.421429109315822,65.86004973239814
2024-05-31,3.3402325881064368,14.866694179875887,13.071400638356643,73.14793861042547
2024-06-30,2.4692352296888087,12.78048780487805,11.73163036639439,85.30745130623914
2024-07-31,2.2409155337929256,12.516540336381395,12.347678309839697,58.655172413793096
2024-08-31,2.452322659622447,11.08620637499784,12.194226745729827,52.95508810088223
2024-09-30,3.619289994201405,12.966526075608027,10.326083097789507,74.0853148903932
2024-10-31,3.3402325881064368,13.630641648372544,11.245068055543408,81.38250568195703
2024-11-30,5.496585271567554,18.64718198475394,12.544233749472372,70.9655172413793
2024-12-31,5.581148121899362,17.551891929266567,12.615442317025712,74.15172413793104
2025-01-31,2.9174183364473945,14.899774852638677,11.63386956682303,78.43944439013661
2025-02-28,2.621448360286064,13.974277670221777,12.656736122052301,73.37047887289523
2025-03-31,2.7736614908833195,15.126099808127776,13.523737459273075,70.17096703242991
2025-04-30,2.6637297854519684,14.057470916665228,16.091292211007104,72.8688812043305
2025-05-31,3.1711068874428197,15.315741084855926,13.907193722943909,67.89293482245411
2025-06-30,2.4354100895560853,11.720549342275849,13.028554373317533,64.23703902832423
2025-07-31,2.3677598092906385,12.012195121951219,14.188665462648544,61.91379310344827
2025-08-31,2.4354100895560853,12.460947088209366,13.712017417008875,60.35989882450694
2025-09-30,2.832855486115586,12.028735458332614,11.168342273488474,59.342808353087804
2025-10-31,3.382514013272341,12.560975609756099,12.920103758239634,72.50681223881325
2025-11-30,5.885574383093873,18.305915195934382,20.968723939393268,73.9816979887094
2025-12-31,5.412022421235745,16.091883675303798,19.019371815097408,79.16358232117109
